eNM term,described Nanomaterial,described variable.Variable,described variable.OECD Testguideline,described variable.Dataset
NPO_606 carbon nanotube,NP00923;NP00924;NP00925;NP00926;NP00930;NP00931;NP00932,,,
CHEBI:82297 carbon black,NP00920,,,
CHEBI:46666 crocidolite asbestos,NP00921,,,
NPO_1235 surface area,,BET;BET.SD,OECD TG 124;OECD TG 124,NP00254;NP00259;NP00282;NP00320;NP00514;NP00515;NP00190;NP00191;NP00192;NP00213;NP00261;NP00281;NP00509;NP00254;NP00259;NP00514;NP00515;NP00190;NP00191;NP00192;NP00213;NP00261;NP00281;NP00509
NPO_1302 zeta potential,,Zeta;Zeta.SD,OECD NM Testprogramme;OECD NM Testprogramme,DS00000602_I1_Rep1;DS00000606_Bulk dispersion_Rep1;DS00000606_Stock dispersion_Rep1;DS00000609_Bulk dispersion_Rep1;DS00000609_Stock dispersion_Rep1;DS00000611_Bulk dispersion_Rep1;DS00000611_Stock dispersion_Rep1;DS00000612_Bulk dispersion_Rep1;DS00000612_Stock dispersion_Rep1;DS00000612_Stock dispersion_Rep2;DS00000613_Bulk dispersion_Rep1;DS00000613_Stock dispersion_Rep1;DS00000613_Stock dispersion_Rep2;DS00000614_Bulk dispersion_Rep1;DS00000614_Stock dispersion_Rep1;DS00000614_Stock dispersion_Rep2;DS00000615_Bulk dispersion_Rep1;DS00000615_Stock dispersion_Rep1;DS00000615_Stock dispersion_Rep2;NP00193;NP00194;NP00195;NP00196;NP00197;NP00214;NP00254;NP00255;NP00256;NP00257;NP00258;NP00259;NP00282;NP00320;NP00434;NP00436;NP00437;NP00438;NP00503;NP00507;NP00514;NP00515;NP00191;NP00192;NP00200;NP00201;NP00202;NP00216;NP00217;NP00218;NP00219;NP00220;NP00260;NP00262;NP00266;NP00269;NP00386;NP00432;NP00441;NP00442;NP00443;NP00444;NP00445;NP00446;NP00448;NP00453;NP00454;NP00455;NP00456;NP00457;NP00458;NP00459;NP00460;NP00461;NP00474;NP00475;NP00477;NP00479;NP00480;NP00481;NP00482;NP00509;NP00647;NP00648;NP00649;NP00686;NP00687;NP00688;NP00742;Computational-TiO2-Anatase101.01;Computational-TiO2-Anatase101.02;Computational-TiO2-Anatase101.03;Computational-TiO2-Anatase101.04;Computational-TiO2-Anatase101.05;Computational-TiO2-Anatase101.06;Computational-TiO2-Anatase101.07;Computational-TiO2-Anatase101.08;Computational-TiO2-Anatase101.09;Computational-TiO2-Anatase101.10;Computational-TiO2-Anatase101.11;Computational-TiO2-Anatase101.12;Computational-TiO2-Anatase101.13;Computational-TiO2-Anatase101.14;Computational-TiO2-Anatase101.15;Computational-TiO2-Anatase101.16;Computational-Carbon black.01;Computational-Carbon black.02;Computational-Carbon black.03;Computational-Carbon black.04;Computational-Carbon black.05;Computational-Carbon black.06;Computational-Carbon black.07;Computational-Carbon black.08;Computational-Carbon black.09;Computational-Carbon black.10;Computational-Carbon black.11;Computational-Carbon black.12;Computational-Carbon black.13;Computational-Carbon black.14;Computational-Carbon black.15;Computational-Carbon black.16;Computational-Carbon black.17;Computational-Carbon black.18;Computational-Carbon black.19;Computational-Carbon black.20;Computational-Carbon black.21;Computational-Carbon black.22;Computational-Carbon black.23;Computational-Carbon black.24;Computational-Carbon black.25;Computational-Fe2O3.01;Computational-Fe2O3.02;Computational-Fe2O3.03;Computational-Fe2O3.04;Computational-Fe2O3.05;Computational-Fe2O3.06;Computational-Fe2O3.07;Computational-Fe2O3.08;Computational-Fe2O3.09;Computational-Fe2O3.10;Computational-Fe2O3.11;Computational-Fe2O3.12;Computational-Fe2O3.13;Computational-Fe2O3.14;Computational-Fe2O3.15;Computational-Fe2O3.16;Computational-Fe2O3.17;Computational-Fe2O3.18;Computational-Fe2O3.19;Computational-Fe2O3.20;Computational-Fe2O3.21;Computational-Fe2O3.22;Computational-Fe2O3.23;Computational-Fe2O3.24;Computational-Fe2O3.25;Computational-Fe2O3.26;Computational-Fe2O3.27;Computational-Fe2O3.28;Computational-Fe2O3.29;Computational-Fe2O3.30;Computational-Graphene Oxide.01;Computational-Graphene Oxide.02;Computational-MWCNT.01;Computational-MWCNT.02;Computational-MWCNT.03;Computational-MWCNT.04;Computational-MWCNT.05;Computational-MWCNT.06;Computational-MWCNT.07;Computational-MWCNT.08;Computational-MWCNTCOOH3.01;Computational-MWCNTCOOH3.02;Computational-MWCNTCOOH3.03;Computational-MWCNTCOOH30;Computational-MWCNTNH2-2;Computational-MWCNTOH14;Computational-MWCNTOH4.01;Computational-MWCNTOH4.02;Computational-MWCNTOH4.03;Computational-Red Graphene Oxide.01;Computational-Red Graphene Oxide.02;Computational-TiO2-Rutile110.01;Computational-TiO2-Rutile110.02;Computational-TiO2-Rutile110.03;Computational-TiO2-Rutile110.04;Computational-TiO2-Rutile110.05;Computational-TiO2-Rutile110.06;Computational-TiO2-Rutile110.07;Computational-TiO2-Rutile110.08;Computational-TiO2-Rutile110.09;Computational-TiO2-Rutile110.10;Computational-TiO2-Rutile110.11;Computational-TiO2-Rutile110.12;Computational-TiO2-Rutile110.13;Computational-TiO2-Rutile110.14;Computational-TiO2-Rutile110.15;Computational-TiO2-Rutile110.16;Computational-TiO2-Rutile110.17;Computational-TiO2-Rutile110.18;Computational-TiO2-Rutile110.19;Computational-TiO2-Rutile110.20;Computational-TiO2-Rutile110.21;Computational-TiO2-Rutile110.22;Computational-TiO2-Rutile110.23;Computational-TiO2-Rutile110.24;Computational-TiO2-Rutile110.25;Computational-Silica amorphous.01;Computational-Silica amorphous.02;Computational-Silica amorphous.03;Computational-Silica amorphous.04;Computational-Silica amorphous.05;Computational-Silica amorphous.06;Computational-Silica amorphous.07;Computational-Silica amorphous.08;Computational-Silica amorphous.09;Computational-Silica amorphous.10;Computational-Silica Quartz.01;Computational-Silica Quartz.02;Computational-Silica Quartz.03;Computational-Silica Quartz.04;Computational-Silica Quartz.05;Computational-Silica Quartz.06;Computational-Silica Quartz.07;Computational-Silica Quartz.08;Computational-Silica Quartz.09;Computational-Silica Quartz.10;Computational-Silica Quartz.11;Computational-Silica Quartz.12;Computational-Silica Quartz.13;Computational-Silica Quartz.14;Computational-Silica Quartz.15;Computational-Silica Quartz.16;Computational-Silica Quartz.17;Computational-Silica Quartz.18;Computational-Silica Quartz.19;Computational-Silica Quartz.20;Computational-Silica Quartz.21;Computational-Silica Quartz.22;Computational-Silica Quartz.23;Computational-Silica Quartz.24;Computational-Silica Quartz.25;Computational-SWCNT.01;Computational-SWCNT.02;Computational-SWCNT.03;Computational-SWCNT.04;Computational-SWCNT.05;Computational-SWCNTCOOH3.01;Computational-SWCNTCOOH3.02;Computational-SWCNTCOOH3.03;Computational-SWCNTOH4.01;Computational-SWCNTOH4.02;Computational-SWCNTOH4.03;Computational-MWCNTOH4.04;Computational-TiO2-Rutile20-Anatase80;Computational-Carbon black.26;Computational-Carbon black.27;Computational-Carbon black.28;Computational-Carbon black.29;Computational-Carbon black.30;NP01155_pH7;NP01155_pH4;NP01156_pH7;NP01156_pH4;NP01157_pH7;NP01157_pH4;NP01113_pH7;NP01113_pH4;DS00000805_I0_Rep1;DS00000805_I1_Rep1;DS00000805_I10_Rep1;DS00000805_I11_Rep1;DS00000805_I12_Rep1;DS00000805_I13_Rep1;DS00000805_I14_Rep1;DS00000805_I15_Rep1;DS00000805_I16_Rep1;DS00000805_I17_Rep1;DS00000805_I18_Rep1;DS00000805_I19_Rep1;DS00000805_I2_Rep1;DS00000805_I20_Rep1;DS00000805_I3_Rep1;DS00000805_I4_Rep1;DS00000805_I5_Rep1;DS00000805_I6_Rep1;DS00000805_I7_Rep1;DS00000805_I8_Rep1;DS00000805_I9_Rep1;DS00000807_I0_Rep1;DS00000807_I1_Rep1;DS00000807_I10_Rep1;DS00000807_I11_Rep1;DS00000807_I12_Rep1;DS00000807_I13_Rep1;DS00000807_I14_Rep1;DS00000807_I15_Rep1;DS00000807_I16_Rep1;DS00000807_I17_Rep1;DS00000807_I18_Rep1;DS00000807_I19_Rep1;DS00000807_I2_Rep1;DS00000807_I20_Rep1;DS00000807_I3_Rep1;DS00000807_I4_Rep1;DS00000807_I5_Rep1;DS00000807_I6_Rep1;DS00000807_I7_Rep1;DS00000807_I8_Rep1;DS00000807_I9_Rep1;DS00000808_I0_Rep1;DS00000808_I1_Rep1;DS00000808_I10_Rep1;DS00000808_I11_Rep1;DS00000808_I2_Rep1;DS00000808_I3_Rep1;DS00000808_I4_Rep1;DS00000808_I5_Rep1;DS00000808_I6_Rep1;DS00000808_I7_Rep1;DS00000808_I8_Rep1;DS00000808_I9_Rep1;NP01413;NP01414;NP00193;NP00194;NP00195;NP00196;NP00197;NP00214;NP00254;NP00255;NP00256;NP00257;NP00258;NP00259;NP00282;NP00320;NP00434;NP00436;NP00437;NP00438;NP00503;NP00507;NP00514;NP00515;NP00191;NP00192;NP00200;NP00201;NP00202;NP00216;NP00217;NP00218;NP00219;NP00220;NP00260;NP00262;NP00266;NP00269;NP00386;NP00432;NP00441;NP00442;NP00443;NP00444;NP00445;NP00446;NP00448;NP00453;NP00454;NP00455;NP00456;NP00457;NP00458;NP00459;NP00460;NP00461;NP00474;NP00475;NP00477;NP00479;NP00480;NP00481;NP00482;NP00509;NP00647;NP00648;NP00649;NP00686;NP00687;NP00688;NP00742;NP01155_pH7;NP01155_pH4;NP01156_pH7;NP01156_pH4;NP01157_pH7;NP01157_pH4;NP01113_pH7;NP01113_pH4;NP01413;NP01414
NPO_1454 scanning transmission electron microscopy,,STEM.SD;STEM,,NP00193;NP00194;NP00195;NP00196;NP00197;NP00191;NP00192;NP00200;NP00201;NP00202;NP00452;NP00453;NP00456;NP00459;NP00647;NP00648;NP00742;NP00193;NP00194;NP00195;NP00196;NP00197;NP00191;NP00192;NP00200;NP00201;NP00202;NP00452;NP00453;NP00456;NP00459;NP00647;NP00648;NP00742
NPO_1539 particle diameter,,Diameter,OECD TG 125,DS00000205_Stock dispersion_Rep1;DS00000206_Stock dispersion_Rep;DS00000208_Stock dispersion_Rep1;DS00000108_stock dispersion_Rep1;DS00000606_Bulk dispersion_Rep1;DS00000606_Stock dispersion_Rep1;DS00000609_Bulk dispersion_Rep1;DS00000609_Stock dispersion_Rep1;DS00000611_Bulk dispersion_Rep1;DS00000611_Stock dispersion_Rep1;DS00000612_Bulk dispersion_Rep1;DS00000612_Stock dispersion_Rep1;DS00000612_Stock dispersion_Rep2;DS00000613_Bulk dispersion_Rep1;DS00000613_Stock dispersion_Rep1;DS00000613_Stock dispersion_Rep2;DS00000614_Bulk dispersion_Rep1;DS00000614_Stock dispersion_Rep1;DS00000614_Stock dispersion_Rep2;DS00000615_Bulk dispersion_Rep1;DS00000615_Stock dispersion_Rep1;DS00000615_Stock dispersion_Rep2;56598f58-7abe-445b-9e23-40ef1341c3cf_2020-11-23 10:39;56598f58-7abe-445b-9e23-40ef1341c3cf_2020-12-11 14:32:10;DS00000813_Stock dispersion_Rep1
